order_id,driver_id,shift_id,actual_origin,pickup_id,destination_id,area_id,area_name,departed,pickup_lat,pickup_lng,destination_lat,destination_lng,origin_lat,origin_lon,origin_pickup,pickup_destination,total_distance
575541,966,97727,4911,15515,38046,1,Lugano,2023-04-10 11:27:31,46.0038372,8.9522698,45.9541124,8.9658386,46.009569,8.9357137,1.4318789711590565,5.626087816053516,7.057966787212573
575544,168,97728,38807,2081,1015,1,Lugano,2023-04-10 11:39:57,46.011647,8.9585615,46.0125839,8.9494529,46.007285,8.9614936,0.5353906075043541,0.7130733716777002,1.2484639791820542
575545,1065,97725,4911,15515,42254,1,Lugano,2023-04-10 11:32:19,46.0038372,8.9522698,46.006073216,8.9414845593,46.009569,8.9357137,1.4318789711590565,0.8715730912766474,2.3034520624357038
575546,1054,97726,4911,19724,687,1,Lugano,2023-04-10 12:04:29,46.0058753,8.9508866,45.9893725,8.951708,46.009569,8.9357137,1.2448318036556747,1.835410544098731,3.080242347754406
575547,1079,97729,1570,28334,20341,4,Mendrisio,2023-04-10 12:01:53,45.8492042,9.0134212,45.8368163,9.0237773,45.8490803,9.0139197,0.04109631471437524,1.5946877636329808,1.635784078347356
575549,922,97731,15530,5499,20554,3,Bellinzona,2023-04-10 12:05:08,46.183829,9.0125449,46.2032587,9.0224682,46.1556722,8.9813997,3.9472116652521283,2.2915311364196453,6.238742801671774
575550,1008,97730,4911,11,11890,1,Lugano,2023-04-10 12:10:42,46.0115629,8.9586099,46.0161722,8.9585698,46.009569,8.9357137,1.7870732891098289,0.5123404330463038,2.2994137221561326
575552,966,97727,38046,9514,15744,1,Lugano,2023-04-10 12:07:04,45.9853015,8.8903761,46.0327426,8.943363,45.9541124,8.9658386,6.798968688964895,6.681906202141487,13.480874891106382
575553,1065,97725,42254,58,6202,1,Lugano,2023-04-10 12:09:37,46.003835,8.953872,46.0062862,8.95989,46.006073216,8.9414845593,0.9912144256190422,0.5399167289515887,1.5311311545706308
575554,168,97728,1015,8568,6687,1,Lugano,2023-04-10 12:15:53,46.0252461,8.9367503,46.009023,8.946958,46.0125839,8.9494529,1.7170940793742335,1.9688762389429253,3.6859703183171586
575555,1085,97732,66159,61618,50531,3,Bellinzona,2023-04-10 12:10:30,46.1565758178,8.9737480807,46.1577345,8.9781529,46.1846281,8.9920897,3.424774335002414,0.36380472426461596,3.78857905926703
575558,1096,97735,8179,19724,150,1,Lugano,2023-04-10 12:16:38,46.0058753,8.9508866,46.0005809,8.9473284,46.0140927,8.9385494,1.321836849826104,0.6498242641155666,1.9716611139416704
575560,1139,97736,30472,28334,36627,4,Mendrisio,2023-04-10 12:18:03,45.8492042,9.0134212,45.8400842,8.9808109,45.8676696,8.9774899,3.4639498086088647,2.72845021795002,6.192400026558884
575561,565,97734,1928,940,1381,1,Lugano,2023-04-10 12:17:25,46.0015407,8.9393024,46.0122217,8.9588177,46.0099176,8.9375722,0.9406991894698361,1.9220285400416852,2.8627277295115214
575563,168,97728,6687,2632,3472,1,Lugano,2023-04-10 12:33:38,46.0143353,8.9549994,46.027187,8.964093,46.009023,8.946958,0.8582033792943893,1.5926130844058641,2.4508164637002534
575565,1058,97737,104135,41290,102056,2,Locarno,2023-04-10 12:27:47,46.1715162,8.7998604,46.1650692,8.7957532,46.1691778,8.7933132,0.5685077260601287,0.7836744106239805,1.3521821366841091
575567,1144,97746,7550,19724,37245,1,Lugano,2023-04-10 17:55:57,46.0058753,8.9508866,46.0193617,8.9401534,46.0495371,8.9847874,5.51741169133941,1.7140782818294706,7.23148997316888
575568,1054,97726,687,20,48115,1,Lugano,2023-04-10 12:35:53,46.0119473,8.9546817,46.0188513463,8.9556358454,45.9893725,8.951708,2.5197701150893987,0.770945101560415,3.2907152166498137
575570,1065,97725,6202,767,768,1,Lugano,2023-04-10 12:38:38,46.0129124,8.9505226,46.0074533,8.9506204,46.0062862,8.95989,1.0338309580146254,0.6068345233346314,1.6406654813492567
