order_id,departed,delivery_time_cluster,delivery_time_for_average,area_name
575541,2023-04-10 11:27:31,<40 Minutes,34.766666516661644,Lugano
575544,2023-04-10 11:39:57,<40 Minutes,28.866666331887245,Lugano
575545,2023-04-10 11:32:19,<40 Minutes,36.45000010728836,Lugano
575546,2023-04-10 12:04:29,<40 Minutes,30.833333730697632,Lugano
575547,2023-04-10 12:01:53,<40 Minutes,27.816666662693024,Mendrisio
575549,2023-04-10 12:05:08,<40 Minutes,34.81666624546051,Bellinzona
575550,2023-04-10 12:10:42,<40 Minutes,30.366666242480278,Lugano
575552,2023-04-10 12:07:04,<40 Minutes,39.01666693389416,Lugano
575553,2023-04-10 12:09:37,<40 Minutes,28.883332908153534,Lugano
575554,2023-04-10 12:15:53,<40 Minutes,17.683333978056908,Lugano
575555,2023-04-10 12:10:30,<40 Minutes,25.166666954755783,Bellinzona
575558,2023-04-10 12:16:38,<40 Minutes,24.28333304822445,Lugano
575560,2023-04-10 12:18:03,<40 Minutes,39.63333360850811,Mendrisio
575561,2023-04-10 12:17:25,<40 Minutes,23.583333492279053,Lugano
575563,2023-04-10 12:33:38,<40 Minutes,24.116666615009308,Lugano
575565,2023-04-10 12:27:47,<40 Minutes,34.71666678786278,Locarno
575567,2023-04-10 17:55:57,Between 40 and 60 Minutes,54.88333337008953,Lugano
575568,2023-04-10 12:35:53,<40 Minutes,22.600000128149986,Lugano
575570,2023-04-10 12:38:38,<40 Minutes,24.883333146572113,Lugano
575571,2023-04-10 12:44:22,<40 Minutes,31.783333271741867,Lugano
575573,2023-04-10 13:02:34,<40 Minutes,24.216666743159294,Locarno
575574,2023-04-10 12:46:18,<40 Minutes,33.51666659116745,Lugano
575575,2023-04-10 12:41:41,<40 Minutes,26.183333471417427,Mendrisio
575576,2023-04-10 13:01:19,<40 Minutes,31.98333352804184,Mendrisio
575577,2023-04-10 12:53:54,<40 Minutes,36.6166665405035,Lugano
575578,2023-04-10 12:53:43,<40 Minutes,14.999999776482582,Lugano
575579,2023-04-10 12:58:33,<40 Minutes,36.68333284556866,Lugano
575581,2023-04-10 17:52:05,Between 40 and 60 Minutes,45.88333323597908,Lugano
575584,2023-04-10 13:03:25,<40 Minutes,33.35000015795231,Lugano
575585,2023-04-10 13:02:50,<40 Minutes,28.949999883770943,Lugano
575586,2023-04-10 13:03:37,<40 Minutes,23.78333307802677,Lugano
575587,2023-04-10 13:36:49,<40 Minutes,35.283333733677864,Lugano
575588,2023-04-10 13:08:51,<40 Minutes,30.699999779462814,Lugano
575590,2023-04-10 13:16:13,<40 Minutes,34.1333332657814,Lugano
575591,2023-04-10 13:20:09,<40 Minutes,36.50000050663948,Lugano
575592,2023-04-10 13:26:52,<40 Minutes,37.96666659414768,Locarno
575593,2023-04-10 13:23:49,Between 40 and 60 Minutes,42.416666597127914,Lugano
575594,2023-04-10 13:35:19,<40 Minutes,19.350000321865082,Lugano
575595,2023-04-10 17:51:57,<40 Minutes,30.183333232998848,Lugano
575596,2023-04-10 13:27:27,Between 40 and 60 Minutes,40.79999998211861,Lugano
575597,2023-04-10 13:44:56,Between 40 and 60 Minutes,54.38333339989185,Bellinzona
575599,2023-04-10 13:40:43,<40 Minutes,24.549999609589577,Lugano
575600,2023-04-10 14:39:24,<40 Minutes,7.733333632349968,Bellinzona
575601,2023-04-10 13:34:38,<40 Minutes,31.383333429694176,Lugano
575602,2023-04-10 13:40:02,<40 Minutes,35.08333347737789,Lugano
575603,2023-04-10 13:40:37,<40 Minutes,24.516666457057,Mendrisio
575604,2023-04-10 13:52:23,<40 Minutes,38.96666653454304,Lugano
575605,2023-04-10 14:06:38,<40 Minutes,24.466666728258133,Lugano
575606,2023-04-10 14:07:52,<40 Minutes,21.966666877269745,Lugano
575608,2023-04-10 14:10:08,<40 Minutes,17.816666588187218,Lugano
575609,2023-04-10 17:18:19,Between 40 and 60 Minutes,46.11666664481163,Lugano
575610,2023-04-10 14:28:09,<40 Minutes,31.366666853427887,Lugano
575611,2023-04-10 14:47:13,<40 Minutes,23.299999684095383,Bellinzona
575612,2023-04-10 14:31:32,<40 Minutes,36.96666665375233,Lugano
575613,2023-04-10 15:11:35,<40 Minutes,23.999999910593033,Bellinzona
575614,2023-04-10 14:30:48,<40 Minutes,17.80000001192093,Lugano
575615,2023-04-10 14:50:39,<40 Minutes,30.21666705608368,Lugano
575616,2023-04-10 15:11:13,<40 Minutes,37.36666649580002,Lugano
575617,2023-04-10 15:13:47,<40 Minutes,23.866667300462723,Lugano
575619,2023-04-10 15:40:21,<40 Minutes,34.93333362042904,Lugano
575620,2023-04-10 15:36:17,<40 Minutes,24.78333368897438,Lugano
575621,2023-04-10 15:48:40,<40 Minutes,18.333333134651184,Lugano
575622,2023-04-10 16:01:12,Between 40 and 60 Minutes,46.80000029504299,Lugano
575623,2023-04-10 16:09:28,<40 Minutes,28.81666660308838,Lugano
575624,2023-04-10 16:44:32,<40 Minutes,33.866666704416275,Lugano
575625,2023-04-10 16:52:13,<40 Minutes,25.466666668653488,Lugano
575626,2023-04-10 16:15:41,<40 Minutes,31.000000163912773,Lugano
575627,2023-04-10 18:15:43,Between 40 and 60 Minutes,40.68333327770233,Lugano
575628,2023-04-10 16:38:19,Between 40 and 60 Minutes,41.54999993741512,Lugano
575629,2023-04-10 16:28:57,<40 Minutes,37.53333292901516,Bellinzona
575631,2023-04-10 17:44:48,<40 Minutes,25.266666412353516,Lugano
575632,2023-04-10 17:01:09,<40 Minutes,30.85000030696392,Lugano
575633,2023-04-10 17:01:25,<40 Minutes,30.416666641831398,Lugano
575634,2023-04-10 17:06:03,<40 Minutes,34.48333337903023,Locarno
575635,2023-04-10 17:08:29,Between 40 and 60 Minutes,42.6000002771616,Lugano
575636,2023-04-10 18:59:52,<40 Minutes,21.21666692197323,Lugano
575637,2023-04-10 20:12:40,Between 40 and 60 Minutes,43.50000008940697,Lugano
575638,2023-04-10 17:16:59,<40 Minutes,34.299999698996544,Lugano
575639,2023-04-10 18:49:30,<40 Minutes,21.43333375453949,Lugano
